StationNumber,Lat,Lon,Address,State,City,County,Zip
999999,32.983,-97.483,"14280 Morris Dido Newark Rd, Fort Worth, TX 76179, USA",TX,Fort Worth,Tarrant County,76179
722654,30.917,-102.917,"C St, Fort Stockton, TX 79735, USA",TX,Fort Stockton,Pecos County,79735
994730,29.29,-94.79,"2402 Avenue Q, Galveston, TX 77550, USA",TX,Galveston,Galveston County,77550
997362,28.95,-95.3,"626 Canal Dr, Freeport, TX 77541, USA",TX,Freeport,Brazoria County,77541
722415,29.73,-93.87,"7034 1st St, Sabine Pass, TX 77655, USA",TX,Port Arthur,Jefferson County,77655
722425,29.33,-94.77,"TX-168, Galveston, TX 77550, USA",TX,Galveston,Galveston County,77550
722519,27.83,-97.07,"423 W Avenue G, Port Aransas, TX 78373, USA",TX,Port Aransas,Nueces County,78373
690290,27.833,-97.067,"405 W Avenue C, Port Aransas, TX 78373, USA",TX,Port Aransas,Nueces County,78373
722413,29,-95.32,"2802 Shady Creek Ln, Freeport, TX 77541, USA",TX,Freeport,Brazoria County,77541
722423,29.267,-94.867,"1808 Sydnor Ln, Galveston, TX 77554, USA",TX,Galveston,Galveston County,77554
722437,28.95,-95.3,"626 Canal Dr, Freeport, TX 77541, USA",TX,Freeport,Brazoria County,77541
722426,28.983,-95.317,"1011 County Rd 230, Freeport, TX 77541, USA",TX,Freeport,Brazoria County,77541
720743,26.071,-97.157,"State Park Rd 100, South Padre Island, TX 78597, USA",TX,South Padre Island,Cameron County,78597
722453,29.7,-93.95,"State Hwy 87, Sabine Pass, TX 77655, USA",TX,Port Arthur,Jefferson County,77655
722507,26.563,-97.438,"Harbour St, Port Mansfield, TX 78598, USA",TX,Port Mansfield,Willacy County,78598
722557,28.433,-96.433,"30 Las Palmas Dr, Port Lavaca, TX 77979, USA",TX,Port Lavaca,Calhoun County,77979
998226,28.017,-97.05,"715 S Water St, Rockport, TX 78382, USA",TX,Rockport,Aransas County,78382
690280,26.067,-97.167,"Dolphin Cove, South Padre Island, TX 78597, USA",TX,South Padre Island,Cameron County,78597
722369,27.917,-97.2,"3141-3149 FM3512, Ingleside, TX 78362, USA",TX,Ingleside,San Patricio County,78362
722414,29.7,-93.95,"State Hwy 87, Sabine Pass, TX 77655, USA",TX,Port Arthur,Jefferson County,77655
994510,29.667,-94.05,"State Hwy 87, Sabine Pass, TX 77655, USA",TX,,Jefferson County,77655
998165,28.133,-97.033,"Rockport, TX 78382, USA",TX,Rockport,Aransas County,78382
998174,27.817,-97.2,"Arleigh Burke Rd, Aransas Pass, TX 78336, USA",TX,Aransas Pass,San Patricio County,78336
998181,29.55,-95.067,"1602 Enterprise Cir, League City, TX 77573, USA",TX,League City,Galveston County,77573
999999,32.898,-97.019,"Unnamed Road, Irving, TX 75038, USA",TX,Irving,Dallas County,75038
999999,29.951,-94.021,"Air Line Dr, Beaumont, TX 77705, USA",TX,Beaumont,Jefferson County,77705
